hanzi,pinyin,english,word_type
出租车,chu1zu1che1,"taxi, cab",vocab
饭店,fan4dian4,"hotel, restaurant",vocab
飞机,fei1ji1,airplane,vocab
高兴,gao1xing4,"glad, happy",vocab
年,nian2,year,vocab
认识,ren4shi5,"to meet, to know",vocab
听,ting1,to listen,vocab
一起,yi1qi3,together,vocab
开始,kai1shi3,to begin; to start,vocab
大学,da4xue2,university,vocab
是的,shi4de5,yes; that's right; correct,vocab
您好,nin2hao3,hello (polite form of greeting),vocab
客气,ke4qi5,polite; you're welcome,vocab
请进,qing3jin4,please come in,vocab
介绍,jie4shao4,to introduce,vocab
一下,yi1xia4,a moment; briefly (used to soften commands or requests),vocab
也是,ye3shi4,also is; is also,vocab
工人,gong1ren2,worker,vocab
男生,nan2sheng1,boy; male student,vocab
女生,nu:3sheng1,girl; female student,vocab
认真,ren4zhen1,serious; earnest; diligent,vocab
找,zhao3,to look for; to seek,vocab
别人,bie2ren5,other people; others,vocab
就,jiu4,only; just (indicating exception or contrast),vocab
哥哥,ge1ge5,older brother,vocab
妹妹,mei4mei5,younger sister,vocab
弟弟,di4di5,younger brother,vocab
姐姐,jie3jie5,older sister,vocab
爷爷,ye2ye5,grandfather,vocab
奶奶,nai3nai5,grandmother,vocab
女朋友,nu:3peng2you5,girlfriend,vocab
男朋友,nan2peng2you5,boyfriend,vocab
孩子,hai2zi5,child; children,vocab
南边,nan2bian5,the south side,vocab
比,bi3,than (used in comparisons),vocab
北边,bei3bian1,north side,vocab
星期天,xing1qi1tian1,Sunday,vocab
星期日,xing1qi1ri4,Sunday,vocab
课,ke4,class; lesson,vocab
午饭,wu3fan4,lunch,vocab
晚上,wan3shang5,evening; night,vocab
常常,chang2chang2,often; frequently,vocab
明年,ming2nian2,next year,vocab
新年,xin1nian2,new year,vocab
去年,qu4nian2,last year,vocab
白天,bai2tian1,daytime; daylight hours,vocab
前天,qian2tian1,the day before yesterday,vocab
雨,yu3,rain,vocab
后天,hou4tian1,the day after tomorrow,vocab
有时候,you3shi2hou5,sometimes,vocab
早上,zao3shang5,in the morning,vocab
跑,pao2,to run,vocab
走路,zou3lu4,to walk,vocab
起床,qi3chuang2,to get out of bed; to wake up,vocab
累,lei3,tired,vocab
杯,bei1,cup; classifier for cups of liquid,vocab
正在,zheng4zai4,currently; in the process of; right now,vocab
写字,xie3zi4,to write characters/handwriting,vocab
中文,zhong1wen2,Chinese language,vocab
读书,du2shu1,to read books,vocab
打开,da3kai1,to open,vocab
门,men2,door,vocab
关上,guan1shang4,to close,vocab
唱歌,chang4ge1,to sing,vocab
好听,hao3ting1,sounds good; pleasant to listen to,vocab
出去,chu1qu4,to go out,vocab
玩儿,wan2r5,to play; to have fun,vocab
小朋友,xiao3peng2you3,child; little friend,vocab
外边,wai4bian5,outside,vocab
很快,hen3kuai4,very fast,vocab
慢,man4,slow,vocab
要,yao1,want to; need to; will,vocab
洗手,xi3shou3,to wash one's hands,vocab
坐下,zuo4xia5,sit down,vocab
休息,xiu1xi5,to rest,vocab
一会儿,yi1hui4r5,a while; a moment,vocab
教,jiao4,to teach,vocab
忘记,wang4ji4,to forget,vocab
记得,ji4de5,to remember,vocab
记住,ji4zhu5,to remember; to keep in mind,vocab
话,hua4,words; speech; what someone said,vocab
知道,zhi1dao4,to know,vocab
明白,ming2bai5,to understand,vocab
告诉,gao4su4,to tell; to inform,vocab
准备,zhun3bei4,to prepare; to get ready,vocab
走,zou3,to leave; to go,vocab
还,huan2,still; yet,vocab
起来,qi3lai5,to get up; to rise,vocab
等,deng3,to wait,vocab
马上,ma3shang4,right away; immediately; in a moment,vocab
帮,bang1,to help,vocab
拿,na2,to take; to carry; to get,vocab
帮忙,bang1mang2,to help,vocab
大学生,da4xue2sheng1,university student,vocab
小学生,xiao3xue2sheng1,primary school student,vocab
上课,shang4ke4,to attend class; to have class,vocab
下课,xia4ke4,to finish class; class ends,vocab
上班,shang4ban1,to go to work,vocab
上学,shang4xue2,to go to school,vocab
下班,xia4ban1,to get off work; to leave work,vocab
以后,yi3hou4,after,vocab
放假,fang4jia4,to have a day off; to be on holiday,vocab
不用,bu4yong4,don't need to; no need to,vocab
考试,kao3shi4,exam; test,vocab
这次,zhe4ci4,this time,vocab
很难,hen3nan2,very difficult,vocab
图书馆,tu2shu1guan3,library,vocab
教学楼,jiao4xue2lou2,teaching building; academic building,vocab
旁边,pang2bian1,beside; next to; by the side of,vocab
上网,shang4wang3,to go online; to surf the internet,vocab
网上,wang3shang4,online; on the internet,vocab
很多,hen3duo1,"many, a lot of",vocab
网友,wang3you3,online friend; internet friend,vocab
里边,li3bian5,inside; within,vocab
前边,qian2bian5,front; ahead,vocab
后边,hou4bian5,behind; in the back,vocab
左边,zuo3bian5,left side,vocab
不要,bu4yao4,don't; do not,vocab
右边,you4bian5,right side,vocab
东边,dong1bian5,east side,vocab
商场,shang1chang3,shopping mall,vocab
西边,xi1bian1,west side; western side,vocab
学院,xue2yuan4,college; academy; institute,vocab
站,zhan4,to stand,vocab
门口,men2kou3,doorway; entrance; door,vocab
房间,fang2jian1,room,vocab
中间,zhong1jian1,middle; center,vocab
床,chuang2,bed,vocab
地上,di4shang5,on the ground; on the floor,vocab
楼上,lou2shang4,upstairs,vocab
楼下,lou2xia4,downstairs,vocab
山,shan1,mountain,vocab
树,shu4,tree,vocab
火车站,huo3che1zhan4,train station,vocab
打车,da3che1,to take a taxi,vocab
机场,ji1chang3,airport,vocab
外国,wai4guo2,foreign country,vocab
上车,shang4che1,get on the vehicle; board,vocab
到,dao4,to arrive,vocab
下车,xia4che1,to get off (a vehicle); to disembark,vocab
汽车,qi4che1,car,vocab
马路,ma3lu4,road,vocab
车票,che1piao4,train ticket,vocab
