```json
{
  "小猫在哪儿？": "Where is the kitten?",
  "小猫在那儿。": "The kitten is over there.",
  "小狗在哪儿？": "Where is the puppy?",
  "小狗在椅子下面。": "The puppy is under the chair.",
  "你在哪儿工作？": "Where do you work?",
  "我在学校工作。": "I work in a school.",
  "你儿子在哪儿工作？": "Where does your son work?",
  "我儿子在医院工作，他是医生。": "My son works in a hospital. He is a doctor.",
  "你爸爸在家吗？": "Is your father at home?",
  "不在家。": "He is not at home.",
  "他在哪儿呢？": "Where is he?",
  "他在医院。": "He is in the hospital.",
  "我的杯子在哪儿？": "Where is my cup?",
  "你的中国朋友在哪儿？": "Where is your Chinese friend?",
  "我在朋友家喝茶。": "I drink tea at my friend's home.",
  "他们在学校看书。": "They read books in school.",
  "我儿子在医院工作。": "My son works in a hospital.",
  "我的小猫呢？": "Where is my kitten?",
  "我的杯子呢？": "Where is my cup?",
  "他在哪儿工作？": "Where does he work?",
  "他儿子在哪儿工作？": "Where does his son work?",
  "她爸爸在家吗？": "Is her father at home?",
  "她爸爸在哪儿呢？": "Where is her father?"
}
```
